Company,Street,City,State,Zip,EstNumber,GrantDate
a full measure catering,643 Wilkesboro Street,Mocksville,NC,27028,P40282A,06/17/2021
a full measure catering,1995 Hwy 801 South,Advance,NC,27006,M40282,06/22/2010
a full measure catering,1995 Hwy 801 South,Advance,NC,27006,P40282,06/22/2010
a g specialty foods,15025 SE 172nd Ave,Happy Valley,OR,97015,M1184,11/27/2015
a g specialty foods,15025 SE 172nd Ave,Happy Valley,OR,97015,P214,11/27/2015
a la carte foods properties,278 Ideal Street,Belle Rose,LA,70341,M13375,07/08/2021
a la carte foods properties,278 Ideal Street,Belle Rose,LA,70341,P13375,07/08/2021
a peach of a party,30 Woodstock Street,Roswell,GA,30075,M47150,01/25/2021
a peach of a party,30 Woodstock Street,Roswell,GA,30075,P47150,01/25/2021
a portus freight forwarding service,10724 S Sugar Rd,Pharr,TX,78577,V47532,01/25/2021
a small good,461 Commercial Street,Rockport,ME,04856,M54247,04/20/2020
a to z portion control meats,201 N. Main St.,Bluffton,OH,45817,M1689,01/29/2016
a to z portion control meats,201 N. Main St.,Bluffton,OH,45817,P5607,01/29/2016
a&b,1842 Highway 43 North,Pelahatchie,MS,39145,M32133,06/12/2019
a&b,1842 Highway 43 North,Pelahatchie,MS,39145,P32133,06/12/2019
a&m packing,368 Newton Swartswood Road,Newton,NJ,07860,M5911,03/17/2011
a&r packing,34165 Autry,Livonia,MI,48150,M10203,06/23/2020
a&r packing,34165 Autry,Livonia,MI,48150,P10203,06/23/2020
a&s & son,12 Church Street,Keansburg,NJ,07734,M7885,11/19/2010
a&s & son,12 Church Street,Keansburg,NJ,07734,P7885,11/19/2010
a&w country meats,Rear 12 Middle Street,Taneytown,MD,21787,M10801,04/06/2020
a&w country meats,Rear 12 Middle Street,Taneytown,MD,21787,P10801,04/06/2020
a altieri & sons,318 East Airy Street,Norristown,PA,19401,M9516,08/12/2008
a altieri & sons,318 East Airy Street,Norristown,PA,19401,P9516,08/12/2008
a concepcion hnos,105 Aguila Street,Mayaguez,PR,00680,M6714,02/09/1993
a concepcion hnos,105 Aguila Street,Mayaguez,PR,00680,P6714,02/09/1993
a decoite packing house,3101 Kailiili Road,Haiku,HI,96708,M580,11/06/2006
a decoite packing house,3101 Kailiili Road,Haiku,HI,96708,V580,11/06/2006
a f wendling,100 Wendling Plaza,Buckhannon,WV,26201,M21888,05/19/2008
a f wendling,100 Wendling Plaza,Buckhannon,WV,26201,P21888,05/19/2008
a gemmen & sons,11404 68th Avenue,Allendale,MI,49401,M10102,02/04/2004
a gimenez trading,5 Wegmann Way,Oak Ridge,NJ,07438,M17074,11/30/2006
a gimenez trading,5 Wegmann Way,Oak Ridge,NJ,07438,P17074,11/30/2006
a i foods,1700 North Soto St.,Los Angeles,CA,90033,M4828,04/23/2003
a i foods,1700 North Soto St.,Los Angeles,CA,90033,P4828,04/23/2003
a n deringer,438 Griffith Ave.,Sweetgrass,MT,59484,I47,12/22/2017
a n deringer,178 West Service Road,Champlain,NY,12919,I271,01/24/2019
a s k foods,77 N. Hetrick Avenue,Palmyra,PA,17078,M17582,10/23/2012
a s k foods,77 N. Hetrick Avenue,Palmyra,PA,17078,P17582,10/23/2012
a tarantino & sons,2275 Jennings Street,San Francisco,CA,94124,P9002,11/21/2016
aa rubashkin & sons,4310 14th Ave,Brooklyn,NY,11219,M4653,03/24/2021
aa rubashkin & sons,4310 14th Ave,Brooklyn,NY,11219,P4653,03/24/2021
ab vannoy hams,205 Buck Mountain Rd.,West Jefferson,NC,28694,M34635,03/19/2008
afi food service,1 Ikea Drive,Elizabeth,NJ,07207,M5934,01/31/2018
afi food service,1 Ikea Drive,Elizabeth,NJ,07207,P5934,01/31/2018
afi food service,1 Ikea Drive,Elizabeth,NJ,07207,V5934,01/31/2018
aj sons,2975 Laguna Canyon Road,Laguna Beach,CA,92751,M6136,01/10/1991
aj sons,2975 Laguna Canyon Road,Laguna Beach,CA,92751,P334,01/10/1991
aj's lena maid meats,500 West Main Street,Lena,IL,61048,M27467,06/24/2020
aj's lena maid meats,500 West Main Street,Lena,IL,61048,P27467,06/24/2020
aj's lena maid meats,500 West Main Street,Lena,IL,61048,V27467,06/24/2020
al beck & sons,505 Jones Rd.,Winston-Salem,NC,27107,M6639,03/14/2002
al beck & sons,505 Jones Rd.,Winston-Salem,NC,27107,P6639,03/14/2002
an deringer,178 West Service Road,Champlain,NY,12919,V18337,08/17/2016
an deringer,438 Griffith Ave.,Sweetgrass,MT,59484,M19476,10/15/2014
an deringer,438 Griffith Ave.,Sweetgrass,MT,59484,P19476,10/15/2014
an deringer,438 Griffith Ave.,Sweetgrass,MT,59484,V19476,10/15/2014
ask foods,140 N. Locust Street,Palmyra,PA,17078,M9551,10/23/2012
ask foods,140 N. Locust Street,Palmyra,PA,17078,P8410,10/23/2012
ata meat,3698 1/2 NW 16th Street,Lauderhill,FL,33311,M34577,01/29/2001
ata meat,3698 1/2 NW 16th Street,Lauderhill,FL,33311,P34577,01/29/2001
a1 meat solutions,3219 Durfee Avenue,El Monte,CA,91732,M34095,09/23/2020
a1 meat solutions,3219 Durfee Avenue,El Monte,CA,91732,P34095,09/23/2020
a1 meat solutions,3219 Durfee Avenue,El Monte,CA,91732,V34095,09/23/2020
aa meat products,6544 Flotilla Street,Commerce,CA,90040,M44904,04/16/2020
aa meat products,6544 Flotilla Street,Commerce,CA,90040,P44904,04/16/2020
abbyland foods,918 SPRUCE STREET,ABBOTSFORD,WI,54405,M1633B,04/24/2020
abbyland foods,918 SPRUCE STREET,ABBOTSFORD,WI,54405,P17764B,04/24/2020
abf packing,8758 S. US HWY 377,Dublin,TX,76446,M19478,07/18/2006
ac's yummy jerky,3425 Taylorsville Hwy,Statesville,NC,28625,M48238,03/25/2019
acc central kitchen,280 Jessup Road,Thorofare,NJ,08086,M40031,09/29/2010
acc central kitchen,280 Jessup Road,Thorofare,NJ,08086,P40031,09/29/2010
ace catering and events,11 S Gwynns Mill Court,Owings Mills,MD,21117,M47617,03/19/2021
ace catering and events,11 S Gwynns Mill Court,Owings Mills,MD,21117,P47617,03/19/2021
acme jerky,5710 Lord Street,Scottsmoor,FL,32754,M19891,02/27/2015
aee,3006 State Hwy FF,Jackson,MO,63755,M46554,02/18/2021
aee,3006 State Hwy FF,Jackson,MO,63755,P46554,02/18/2021
afs classico,507 34th Ave.,Rock Island,IL,61201,M15825,01/17/2013
afs classico,507 34th Ave.,Rock Island,IL,61201,P15825,01/17/2013
ag food products,35 Marcus Boulevard,Hauppauge,NY,11788,M18342,10/15/2018
ag food products,35 Marcus Boulevard,Hauppauge,NY,11788,P18342,10/15/2018
aga investments,8640 Siempre Viva Road,San Diego,CA,92154,V18803,10/12/2011
ahr manufacturing,526 West 27th Street,Hialeah,FL,33010,M47015,11/03/2020
ahr manufacturing,526 West 27th Street,Hialeah,FL,33010,P47015,11/03/2020
ak's midstate meats,1561 Levee Way,North Pole,AK,99705,M40463,02/15/2011
ak's midstate meats,1561 Levee Way,North Pole,AK,99705,V40463,02/15/2011
alfredo aiello italian foods,122 WATER STREET,QUINCY,MA,02169,M8804,04/27/1989
alfredo aiello italian foods,122 WATER STREET,QUINCY,MA,02169,P8804,04/27/1989
almi group,5419 N. Mascher Street,Philadelphia,PA,19120,M21929,09/09/2019
almi group,5419 N. Mascher Street,Philadelphia,PA,19120,P21929,09/09/2019
amick farms,274 NEALSON STREET,HURLOCK,MD,21643,P7927,09/07/2021
ampc,Highway 20 & Main Street,Lytton,IA,50561,M6899,03/26/2015
ampc,Highway 20 & Main Street,Lytton,IA,50561,P6899,03/26/2015
ampc,Highway 20 & Main Street,Lytton,IA,50561,V6899,03/26/2015
ampc,1347 Highway 44,Harlan,IA,51537,M19393,09/13/2017
ampc,1347 Highway 44,Harlan,IA,51537,P19393,09/13/2017
ampc,1347 Highway 44,Harlan,IA,51537,V19393,09/13/2017
ari-packaging,456 International Parkway,Minooka,IL,60447,V48295,01/04/2018
aro foods,15715 Bammel Village Dr.,Houston,TX,77014,M46904,04/07/2021
aro foods,15715 Bammel Village Dr.,Houston,TX,77014,P46904,04/07/2021
asc lockers,415 Plaza Dr,West Point,NE,68788,M45208,11/03/2017
asc lockers,415 Plaza Dr,West Point,NE,68788,V45208,11/03/2017
asu food safety and product development lab,7945 Grape Creek Road,San Angelo,TX,76901,M32085,03/08/2016
asu food safety and product development lab,7945 Grape Creek Road,San Angelo,TX,76901,P32085,03/08/2016
atg transportation,3205 SE 19th Avenue,Port Everglades,FL,33316,V39958,07/16/2009
atm international usa,3420 Kashiwa,Torrance,CA,90505,M27510,09/11/2014
atm international usa,3420 Kashiwa,Torrance,CA,90505,P27510,09/11/2014
au lau and associates,1871 North Powerline Road,Pompano Beach,FL,33069,M19999,02/04/2009
au lau and associates,1871 North Powerline Road,Pompano Beach,FL,33069,P19999,02/04/2009
ava pork products,383 West John Street,Hicksville,NY,11802,M17990A,10/17/2006
ava pork products,383 West John Street,Hicksville,NY,11802,P17990A,10/17/2006
avf holding,205 Ascot Valley Pkwy,Cuyahoga Falls,OH,44223,M5696,12/21/2018
avf holding,205 Ascot Valley Pkwy,Cuyahoga Falls,OH,44223,P5696,12/21/2018
az gourmet foods,176 W. Wingohocking Street,Philadelphia,PA,19140,M34542,10/23/2017
az gourmet foods,176 W. Wingohocking Street,Philadelphia,PA,19140,P34542,10/23/2017
az grass fed beef,1333 S. Road 1 West,Chino Valley,AZ,86323,M46006,12/17/2015
az grass raised bone broth,212 Finnie Flat Rd.,Camp Verde,AZ,86322,M51226,02/11/2021
az grass raised bone broth,212 Finnie Flat Rd.,Camp Verde,AZ,86322,V51226,02/11/2021
aala meat market,751 Waikamilo Road,Honolulu,HI,96817,M12425,05/27/2010
aala meat market,751 Waikamilo Road,Honolulu,HI,96817,P12425,05/27/2010
aaron thomas,7421 Chapman Avenue,Garden Grove,CA,92841,M47018,03/11/2020
aaron thomas,7421 Chapman Avenue,Garden Grove,CA,92841,P47018,03/11/2020
abe manufacturing,700 Commercial Avenue,Waterloo,WI,53594,G47106,01/13/2020
abanto forwarding,907 Produce Park Lane,Hidalgo,TX,78557,V21789,07/25/2002
abattoir associates,119 Cooper Street,Spring Mills,PA,16875,M44910,09/24/2019
abattoir associates,119 Cooper Street,Spring Mills,PA,16875,P44910,09/24/2019
abattoir associates,119 Cooper Street,Spring Mills,PA,16875,V44910,09/24/2019
abbott's meat,3623 Blackington Avenue,Flint,MI,48532,M10215,05/28/2004
abbott's meat,3623 Blackington Avenue,Flint,MI,48532,P10215,05/28/2004
abbyland foods,508 E. Linden Street,Abbotsford,WI,54405,M1633,12/08/2017
abbyland foods,508 E. Linden Street,Abbotsford,WI,54405,P17764,12/08/2017
abbyland foods,508 E. Linden Street,Abbotsford,WI,54405,V1633,12/08/2017
abbyland foods,323 Plaza Drive,Curtiss,WI,54422,M1633A,12/08/2017
abbyland foods,323 Plaza Drive,Curtiss,WI,54422,P17764A,12/08/2017
abbyland pork pack,539 North Meridian Street,Curtiss,WI,54422,M15896,11/06/2017
abbyland pork pack,539 North Meridian Street,Curtiss,WI,54422,P15896,11/06/2017
abe's kosher meats,1906 W. Main St.,Burley,ID,83318,M48144,02/24/2017
abeles & heymann,739 Ramsey Avenue,Hillside,NJ,07205,M34250,09/04/2012
abeles & heymann,739 Ramsey Avenue,Hillside,NJ,07205,P34250,09/04/2012
abner snack foods,27926 School Street,Bell City,MO,63735,M45191,03/22/2013
abner snack foods,25157 Walnut St.,Bell City,MO,63735,M45927,07/28/2016
abuelito meat,84 Market Street,Passaic,NJ,07055,M27494,11/24/2009
abundant foods,6701 Stapleton Drive North,Denver,CO,80216,M45140,02/06/2013
abundant foods,6701 Stapleton Drive North,Denver,CO,80216,P45140,02/06/2013
academy packing,2881 Wyoming Street,Dearborn,MI,48120,M2559,02/12/2002
academy packing,2881 Wyoming Street,Dearborn,MI,48120,P2559,02/12/2002
achatz farm to kettle soup,6105 King Rd.,Marine City,MI,48039,M45366,10/31/2018
achatz farm to kettle soup,6105 King Rd.,Marine City,MI,48039,P45366,10/31/2018
achatz handmade pie,30301 Commerce Blvd,Chesterfield,MI,48051,M39950,03/31/2010
achatz handmade pie,30301 Commerce Blvd,Chesterfield,MI,48051,P39950,03/31/2010
acme delivery service,18101 E. Colfax Ave.,Aurora,CO,80011,V45865,07/06/2016
acre station meat farm,17076 Hwy 32 N,Pinetown,NC,27865,M19904,10/03/2002
acre station meat farm,17076 Hwy 32 N,Pinetown,NC,27865,P19904,10/03/2002
acre station meat farm,17076 Hwy 32 N,Pinetown,NC,27865,M40320,07/27/2010
acre station meat farm,17076 Hwy 32 N,Pinetown,NC,27865,P40320,07/27/2010
ada valley gourmet foods,6210 E. Fulton,Ada,MI,49301,M10031,04/05/2016
ada valley gourmet foods,6210 E. Fulton,Ada,MI,49301,P10031,04/05/2016
adam's sausage factory,2539 Mercantile Dr.,Rancho Cordova,CA,95742,M47631,10/29/2021
adams farm slaughterhouse,854 Bearsden Rd,Athol,MA,01331,M5497,05/02/2018
adams farm slaughterhouse,854 Bearsden Rd,Athol,MA,01331,V5497,05/02/2018
adams turkey farm,1192 Old Stage Road,Westford,VT,05494,P51228,01/22/2018
addielee's,2705 Bonds Ave.,North Charleston,SC,29405,M44198,01/18/2013
addielee's,2705 Bonds Ave.,North Charleston,SC,29405,P44198,01/18/2013
adesa international,1440 S. Vineyard Avenue,Ontario,CA,91761,M44127,04/27/2016
adesa international,1440 S. Vineyard Avenue,Ontario,CA,91761,P44127,04/27/2016
adesa international,379 E. Industrial Road,San Bernardino,CA,92408,M44127B,12/06/2021
adesa international,379 E. Industrial Road,San Bernardino,CA,92408,P44127B,12/06/2021
advance pierre foods,1585 West Forest Grove Road,Vineland,NJ,08360,M19504,11/10/2020
advance pierre foods,1585 West Forest Grove Road,Vineland,NJ,08360,P19504,11/10/2020
advance pierre foods,70 Saint John Street,Portland,ME,04102,M276,05/21/2020
advance pierre foods,70 Saint John Street,Portland,ME,04102,P276,05/21/2020
advancepierre foods,206 East Pine,Enid,OK,73701,V19692A,03/05/2020
advancepierre foods,12 Tucker Dr.,Caseyville,IL,62232,M48120,03/27/2020
advancepierre foods,12 Tucker Dr.,Caseyville,IL,62232,P48120,03/27/2020
advancepierre foods,12 Tucker Dr.,Caseyville,IL,62232,V48120,03/27/2020
advancepierre foods,56 Milliken Street,Portland,ME,04103,M276A,05/13/2020
advancepierre foods,56 Milliken Street,Portland,ME,04103,P276A,05/13/2020
advancepierre foods,56 Milliken Street,Portland,ME,04103,V276A,05/13/2020
advancepierre foods,4929 East Willow,Enid,OK,73701,M19692,09/30/2020
advancepierre foods,4929 East Willow,Enid,OK,73701,P19692,09/30/2020
advancepierre foods,201 S. Raleigh Road,Enid,OK,73701,M2260Y,04/12/2021
advancepierre foods,201 S. Raleigh Road,Enid,OK,73701,P2260Y,04/12/2021
advancepierre foods,201 S. Raleigh Road,Enid,OK,73701,V2260Y,04/12/2021
advancepierre foods,5110 Enterprise Blvd,Enid,OK,73701,M2260E,05/06/2021
advancepierre foods,5110 Enterprise Blvd,Enid,OK,73701,P2260E,05/06/2021
advancepierre foods,5110 Enterprise Blvd,Enid,OK,73701,V2260E,05/06/2021
advancepierre foods,5109 E. Willow,Enid,OK,73701,M40193,03/06/2020
advancepierre foods,5109 E. Willow,Enid,OK,73701,P40193,03/06/2020
advancepierre foods,5109 E. Willow,Enid,OK,73701,V40193,03/06/2020
advancepierre foods,1833 Foster Cooper Park Rd.,Amherst,OH,44001,M1980,03/30/2020
advancepierre foods,1833 Foster Cooper Park Rd.,Amherst,OH,44001,P6869,03/30/2020
advancepierre foods,1833 Foster Cooper Park Rd.,Amherst,OH,44001,V1980,03/30/2020
advancepierre foods,9990 Princeton Glendale Rd,Cincinnati,OH,45246,M2132,03/30/2020
advancepierre foods,9990 Princeton Glendale Rd,Cincinnati,OH,45246,P2132,03/30/2020
advancepierre foods,9990 Princeton Glendale Rd,Cincinnati,OH,45246,V2132,03/30/2020
advancepierre foods,3437 East Main Street,Claremont,NC,28610,M3532,03/12/2020
advancepierre foods,3437 East Main Street,Claremont,NC,28610,P3532,03/12/2020
advancepierre foods,3437 East Main Street,Claremont,NC,28610,V3532,03/12/2020
advertising resources,11601 S. Central,Alsip,IL,60803,V31878,09/21/2004
affiliated fresh cuts,1324 North Mirror Street,Amarillo,TX,79107,M8205,01/31/2018
affiliated fresh cuts,1324 North Mirror Street,Amarillo,TX,79107,P8205,01/31/2018
afia foods,111 Town Center Blvd.,Jarrell,TX,78737,M48225,06/25/2018
afia foods,111 Town Center Blvd.,Jarrell,TX,78737,P48225,06/25/2018
against the grain gourmet,22 Browne Court,Brattleboro,VT,05301,M45230,10/15/2014
agile cold atl ne,3117 Athens Highway,Gainesville,GA,30507,M47534,01/10/2022
agile cold atl ne,3117 Athens Highway,Gainesville,GA,30507,P47534,01/10/2022
agile cold atl ne,3117 Athens Highway,Gainesville,GA,30507,V47534,01/10/2022
agile cold atl nw,400 Hamilton Crossing Road NW,Cartersville,GA,30120,M47515,12/06/2021
agile cold atl nw,400 Hamilton Crossing Road NW,Cartersville,GA,30120,P47515,12/06/2021
agile cold atl nw,400 Hamilton Crossing Road NW,Cartersville,GA,30120,V47515,12/06/2021
agri star meat and poultry,220 West Street,Postville,IA,52162,M4653A,01/16/2013
agri star meat and poultry,220 West Street,Postville,IA,52162,P4653A,01/16/2013
agri star meat and poultry,220 West Street,Postville,IA,52162,V4653A,01/16/2013
agro merchants,540 Franklinville Road,Mullica Hill,NJ,08062,M34546,02/05/2021
agro merchants,540 Franklinville Road,Mullica Hill,NJ,08062,P34546,02/05/2021
agro merchants,540 Franklinville Road,Mullica Hill,NJ,08062,V34546,02/05/2021
air chef,1867 O'Toole Lane,San Jose,CA,95131,P47327,11/25/2020
airfrigo usa,900 Fairmont Avenue,Elizabeth,NJ,07201,V46840A,03/22/2017
ajinomoto foods north america,7124 N Marine Drive,Portland,OR,97203,M18356,08/14/2018
ajinomoto foods north america,7124 N Marine Drive,Portland,OR,97203,P18356,08/14/2018
ajinomoto foods north america,601 East 3rd Street,Lampasas,TX,76550,M5590,09/18/2018
ajinomoto foods north america,601 East 3rd Street,Lampasas,TX,76550,P5590,09/18/2018
ajinomoto foods north america,301 W. 3rd St.,Toluca,IL,61369,M5688,07/13/2018
ajinomoto foods north america,301 W. 3rd St.,Toluca,IL,61369,P5688,07/13/2018
ajinomoto foods north america,301 W. 3rd St.,Toluca,IL,61369,V5688,07/13/2018
ajinomoto foods north america,10646 Highway 51,Oakland,MS,38948,M34708,07/23/2018
ajinomoto foods north america,10646 Highway 51,Oakland,MS,38948,P34708,07/23/2018
ajinomoto foods north america,10646 Highway 51,Oakland,MS,38948,V34708,07/23/2018
ajinomoto foods north america,8411 Siempre Viva Road,San Diego,CA,92154,M17417,04/23/2018
ajinomoto foods north america,8411 Siempre Viva Road,San Diego,CA,92154,P17417,04/23/2018
ajinomoto foods north america,2395 American Avenue,Hayward,CA,94545,M20069,10/09/2018
ajinomoto foods north america,2395 American Avenue,Hayward,CA,94545,P20069,10/09/2018
ajinomoto foods north america,2188 Alpine Way,Hayward,CA,94545,M20069A,10/09/2018
ajinomoto foods north america,2188 Alpine Way,Hayward,CA,94545,P20069A,10/09/2018
ajinomoto foods north america,5695 S. Davinci Lane,Carthage,MO,64836,M1623A,09/07/2018
ajinomoto foods north america,5695 S. Davinci Lane,Carthage,MO,64836,P5811,09/07/2018
ajinomoto foods north america,5695 S. Davinci Lane,Carthage,MO,64836,V1623A,09/07/2018
ajinomoto toyo frozen noodle,6500 North Marine Drive,Portland,OR,97203,M18356B,08/04/2016
ajinomoto toyo frozen noodle,6500 North Marine Drive,Portland,OR,97203,P18356B,08/04/2016
ajinomoto windsor,4901 SE 24th,Portland,OR,97202,V18356A,08/06/2015
al & john,147 Clinton Road,West Caldwell,NJ,07006,M5906,11/14/2018
al & john,147 Clinton Road,West Caldwell,NJ,07006,P5906,11/14/2018
al shabrawy,45 Ferry Street,South River,NJ,08882,M19160,12/12/2012
al shabrawy,45 Ferry Street,South River,NJ,08882,P19160,12/12/2012
al's hickory house bbq,1952 Wartrace Pike,Shelbyville,TN,37160,M10760,11/02/2011
al's wholesale meats,1915 N. Broadway,Los Angeles,CA,90031,M4911,07/29/2005
al's wholesale meats,1915 N. Broadway,Los Angeles,CA,90031,P4911A,07/29/2005
al-marwa l l c,670 East Cherry Road,Quakertown,PA,18951,M9672,04/15/2008
al-marwa l l c,670 East Cherry Road,Quakertown,PA,18951,P9672,04/15/2008
alabama catfish,1260 Washington Street,Uniontown,AL,36786,M51210,01/15/2016
alanis food,13329 Veterans Memorial Dr.  Suite Q,Houston,TX,77014,M47733,07/16/2021
alaska commercial,355 E. 76th Avenue,Anchorage,AK,99518,M20898,07/22/1999
alaska commercial,355 E. 76th Avenue,Anchorage,AK,99518,P20898,07/22/1999
alaska meat packers,385 E. Outer Springer Loop,Palmer,AK,99645,M20891,05/10/2017
alaska meat packers,385 E. Outer Springer Loop,Palmer,AK,99645,P20891,05/10/2017
alaska meat packers,385 E. Outer Springer Loop,Palmer,AK,99645,V20891,05/10/2017
alaska natural meats,Fort Glen,Umnak Island,AK,99685,M19556,06/29/1997
alaska natural meats,Fort Glen,Umnak Island,AK,99685,V19556,06/29/1997
alaska sausage,2914 Arctic Blvd.,Anchorage,AK,99503,M17866,11/06/1990
alaska sausage,2914 Arctic Blvd.,Anchorage,AK,99503,P17866,11/06/1990
alatrade foods,695 W. Henderson Road,Boaz,AL,35957,P20699A,06/16/2021
alatrade foods,200 Tyson Drive,Albertville,AL,35950,P32174,06/16/2021
alatrade foods,6 Downing Drive,Phenix City,AL,36869,P34453,06/16/2021
alba cold storage,1705 E. Mills Avenue,El Paso,TX,79901,V45311,11/07/2013
alba foods,5618 Yale Street,Houston,TX,77076,M47022,03/09/2020
alba foods,5618 Yale Street,Houston,TX,77076,P47022,03/09/2020
albaghdadi food,11474 East Nine Mile Rd,Warren,MI,48089,M44182,07/05/2019
albaghdadi food,11474 East Nine Mile Rd,Warren,MI,48089,P44182,07/05/2019
albert lea select foods,2410 Y.H. Hanson Ave.,Albert Lea,MN,56007,M687,10/19/2018
albert lea select foods,2410 Y.H. Hanson Ave.,Albert Lea,MN,56007,P687A,10/19/2018
albert lea select foods,2410 Y.H. Hanson Ave.,Albert Lea,MN,56007,V687,10/19/2018
